,6.42,5.76,5.10,4.53,4.18,3.79,3.38,2.91,2.57,2.24,1.96
340,50.9374312750975,35.97128,21.53025,12.00181,7.43714,7.37463,3.7363,1.56334,1.12357,0.90943,1.05506
340.5,50.7746002709303,35.8162,21.40883,11.91818,7.37572,7.33409,3.66511,1.55468,1.08911,0.91167,1.07029
341,50.6098201162958,35.66504,21.27562,11.82668,7.32664,7.29455,3.59028,1.54996,1.05777,0.91474,1.08383
341.5,50.4432959849274,35.54209,21.17871,11.74047,7.28999,7.25602,3.53257,1.54751,1.02886,0.91936,1.09583
342,50.2752202272002,35.4283,21.07023,11.64886,7.25502,7.21855,3.48594,1.54866,1.00183,0.92576,1.10626
342.5,50.1057595467726,35.29789,20.97608,11.57372,7.21268,7.18214,3.43286,1.54995,0.97625,0.93349,1.11491
343,49.9350934706613,35.16121,20.85215,11.48916,7.17225,7.14682,3.35392,1.54867,0.95177,0.94306,1.12153
343.5,49.763363055808,35.01673,20.7391,11.41574,7.12328,7.11255,3.26935,1.54275,0.92816,0.95422,1.12617
344,49.5907478292294,34.87649,20.64648,11.31706,7.09945,7.07931,3.20571,1.53455,0.90524,0.96772,1.12883
344.5,49.4173632011506,34.74964,20.56598,11.22692,7.07983,7.04704,3.14439,1.53082,0.88294,0.9828,1.12941
345,49.2433630518715,34.60923,20.46651,11.1445,7.05515,7.01564,3.08166,1.52786,0.86123,0.9998,1.12786
345.5,49.0688627916174,34.48498,20.38513,11.08208,7.02103,6.985,3.00779,1.52221,0.84014,1.01856,1.12413
346,48.8939778306131,34.34454,20.29461,11.02497,6.99537,6.95499,2.94095,1.51563,0.81974,1.03944,1.11831
346.5,48.718836402442,34.19554,20.20209,10.95603,6.97362,6.92543,2.8902,1.50805,0.80015,1.06158,1.11036
347,48.5435154472543,34.05582,20.10664,10.87188,6.97767,6.89612,2.83516,1.50361,0.78151,1.08509,1.10051
347.5,48.3681175519165,33.90778,20.02934,10.80051,6.97355,6.86686,2.76275,1.49609,0.764,1.11033,1.08852
348,48.1927196565787,33.77239,19.9671,10.73872,6.96943,6.83739,2.68782,1.48645,0.74781,1.13682,1.07458
348.5,48.0173987013909,33.62909,19.90297,10.66352,6.958,6.80745,2.6452,1.47491,0.73314,1.16423,1.05885
349,47.8422188031449,33.5074,19.8243,10.59633,6.93185,6.77674,2.60745,1.4647,0.7202,1.19185,1.04133
349.5,47.6672312552739,33.36056,19.74187,10.53064,6.91287,6.74496,2.56081,1.45699,0.70919,1.22039,1.02212
350,47.4924873512113,33.22729,19.67488,10.4679,6.90195,6.7118,2.51256,1.44327,0.70033,1.24908,1.00146
350.5,47.3180255610321,33.05966,19.62542,10.40651,6.89993,6.67692,2.47614,1.42583,0.69383,1.27794,0.97921
351,47.1438587080947,32.9002,19.56224,10.34209,6.90605,6.63999,2.44597,1.40699,0.68986,1.3067,0.95558
351.5,46.9700252624741,32.7448,19.50077,10.28344,6.89309,6.60068,2.4056,1.39433,0.68861,1.33416,0.93074
352,46.7965252241702,32.58368,19.44783,10.22393,6.87763,6.55866,2.36438,1.37809,0.69024,1.36139,0.90489
352.5,46.6233457698248,32.4291,19.38041,10.16637,6.86307,6.51363,2.34437,1.35538,0.69489,1.38696,0.87802
353,46.4504868994378,32.26556,19.31069,10.1029,6.84744,6.46528,2.33945,1.32663,0.70268,1.41178,0.85036
353.5,46.2779229662925,32.10775,19.2385,10.04721,6.83363,6.41335,2.33815,1.29901,0.71369,1.43505,0.82202
354,46.1056283236724,31.96798,19.18459,9.99077,6.81582,6.35761,2.32637,1.27138,0.72801,1.45577,0.79309
354.5,45.9335645015023,31.81197,19.14295,9.94119,6.81526,6.29786,2.31164,1.24321,0.74568,1.47528,0.76366
355,45.7616802063489,31.67032,19.08151,9.89701,6.81491,6.23396,2.30012,1.21539,0.7667,1.49189,0.73385
355.5,45.5899113214206,31.51922,18.99306,9.85156,6.79756,6.16584,2.29145,1.18727,0.79107,1.50667,0.70385
356,45.4181937299256,31.36824,18.88431,9.8068,6.78381,6.09347,2.28647,1.1607,0.81875,1.51876,0.67376
356.5,45.246450491714,31.21796,18.80898,9.75756,6.76824,6.01695,2.29693,1.1364,0.84966,1.5277,0.64356
357,45.074579019919,31.0743,18.76753,9.71254,6.75356,5.93642,2.31914,1.10665,0.8837,1.53423,0.61373
357.5,44.9024767276739,30.94162,18.74094,9.67779,6.73833,5.85215,2.35502,1.07544,0.92075,1.5375,0.58382
358,44.7300538514703,30.80447,18.71226,9.65348,6.72657,5.76453,2.3912,1.04322,0.96065,1.53758,0.55442
358.5,44.5571693343666,30.64523,18.64148,9.63042,6.72754,5.67406,2.42274,1.01898,1.00321,1.53468,0.52516
359,44.3836949427795,30.49802,18.57814,9.60638,6.73084,5.58139,2.45105,0.99711,1.04824,1.52857,0.49649
359.5,44.2095024431254,30.38552,18.52648,9.60168,6.72666,5.49185,2.48006,0.9778,1.09549,1.51945,0.46847
360,44.034425131746,30.26529,18.44793,9.61658,6.72646,5.42473,2.51712,0.95464,1.14472,1.50743,0.44078
360.5,43.8583091283414,30.13111,18.40837,9.6435,6.73766,5.34471,2.54557,0.92881,1.19564,1.49171,0.41419
361,43.6809749058946,29.98638,18.38209,9.67097,6.75544,5.26041,2.58625,0.90442,1.24796,1.47355,0.38804
361.5,43.5022429373891,29.86055,18.33399,9.69041,6.76912,5.19388,2.649,0.8873,1.30137,1.45182,0.36274
362,43.3219080490915,29.76121,18.28375,9.70231,6.7754,5.14477,2.71533,0.8734,1.35553,1.42742,0.33827
